id,created_at,text,screen_name,location,followers_count
754824801466941440,Sun Jul 17 23:47:11 +0000 2016,"b'RT @andieiamwhoiam: **Important. Police in this country are NOT ALLOWED to speak, while liars like #BlackLivesMatter have the floor.  Will\\u2026'",realJSJohansen,"Oslo, Norway",811
754824801236226048,Sun Jul 17 23:47:11 +0000 2016,b'@helenabee she said #BlackLivesMatter was racist \\U0001f637',madcozad,,291
754824797985513472,Sun Jul 17 23:47:10 +0000 2016,b'Can anybody stop this thing\\n\\n#BatonRouge \\n# Baltimore Burger King \\n#Blacklivesmatter\\n#Alllivesmatter',MouthofMaximus,"Higher plains,TX",5
754824797771694082,Sun Jul 17 23:47:10 +0000 2016,"b""RT @AlwayanAmerican: For all you #blacklivesmatter remember one day you or your family will need rescuing don't hold your breath 4 help htt\\u2026""",1badhawg,,175
754824789748047876,Sun Jul 17 23:47:08 +0000 2016,"b'RT @PrisonPlanet: #BlackLivesMatter protest leader openly calls for killing cops....but CNN told me it was a ""peaceful"" group. https://t.co\\u2026'",AlexConklin11,"Clifton, NJ",571
754824787340488704,Sun Jul 17 23:47:07 +0000 2016,"b""RT @ashleytisdale: I can't put into words on how I feel with everything that's happened the last couple days. But what I do know is #blackl\\u2026""",osnapitzonika,honeymoon ave,4133
754824787034157056,Sun Jul 17 23:47:07 +0000 2016,b'RT @MeenooRami: #BatonRouge #BlackLivesMatter https://t.co/DYCni9ChBS',jabellpepper,"Wichita, KS",5810
754824786497462272,Sun Jul 17 23:47:07 +0000 2016,"b""RT @RealScottErnst: #BlackLivesMatter has lost the psychological war.  They've been brainwashed into believing they're hopeless victims of\\u2026""",cracker_stoned,WV,87
754824785838899200,Sun Jul 17 23:47:07 +0000 2016,b'RT @_Sha_lei_: So sad \\U0001f62a\\U0001f494#AltonSterling #BlackLivesMatter https://t.co/qEbAIQ54kR',Danielson_okeke,Toronto/Abuja,430
754824784844771330,Sun Jul 17 23:47:07 +0000 2016,b'RT @Bane_Buster: Pro-Tip: Dealing with #BlackLIvesMatter\\n#LawEnforcement #Patriot #Oathkeepers\\n#MolonLabe #NRA #2A #PJNET #TCOT #US https:/\\u2026',_massonnn_,,175
754824784379318272,Sun Jul 17 23:47:07 +0000 2016,b'RT @Blackamazon: Which is what #blacklivesmatter is . No one should die for merely existing in public',mslindsayy,Somewhere over the rainbow,272
754824783297073152,Sun Jul 17 23:47:06 +0000 2016,b'RT @Blackamazon: Which is what #blacklivesmatter is . No one should die for merely existing in public',DizzyMsLizzi,"Los Angeles, CA",1089
754824782588342272,Sun Jul 17 23:47:06 +0000 2016,"b""RT @Cernovich: Shauna King is proof that it's impossible to overstate the stupidity of #BlackLivesMatter https://t.co/yhZAUlLlYc""",katbritton08,"tampa, fl",115
754824778389811200,Sun Jul 17 23:47:05 +0000 2016,"b""RT @RSBuckingham: Being black and a product of a corrupt system that was founded on slavery, that's not a personal decision #BlackLivesMatt\\u2026""",AyeeLexus86,UK18,1090
754824776485593088,Sun Jul 17 23:47:05 +0000 2016,"b""RT @WORLDSTAR: Let's be clear. #BlackLivesMatter https://t.co/Lk2icpD3wv""",Hella_handsom3,"Greensboro, NC",454
754824773763407872,Sun Jul 17 23:47:04 +0000 2016,b'RT @ShaunKing: The #BlackLivesMatter Movement is an anti-violence movement formed  to take a stand against unjust violence and extra-judici\\u2026',abbyjean17,,268
754824773167964161,Sun Jul 17 23:47:04 +0000 2016,b'RT @MDSebach: #BlackLivesMatter spreads the LIE that a white-cop war on blacks exists. They have \\n#BloodOnTheirHands.\\n\\n#BatonRouge https://\\u2026',JustinTemplerSr,,488
754824771561369601,Sun Jul 17 23:47:04 +0000 2016,b'RT @CleanMy_Sprite: US BLACK MEN WILL NOT BE STOPPED #blackexcellence #BlackLivesMatter https://t.co/9Vc6g5bwIf',KeyLoLo_10,#️⃣1️⃣0️⃣ on the court❤️,1410
754824770827329536,Sun Jul 17 23:47:03 +0000 2016,b'RT @gloed_up: #BlackLivesMatter in a nutshell https://t.co/tzuW68YoFX',iloveMcCorkle,"estlbc, CA",1939
754824769527287810,Sun Jul 17 23:47:03 +0000 2016,"b""#BlackLivesMatter #BatonRouge marching everyday day and breaking the law is not going to change anything it's time for order and policy""",Libra_chica25,,467
754824768889708547,Sun Jul 17 23:47:03 +0000 2016,"b'""Two cowards in the car, they\'re just there to film\\nSayin\' #BlackLivesMatter should\'ve died with him""-@ScHoolBoyQ'",brianqshannon,"Goldsboro, NC",132
754824768482705408,Sun Jul 17 23:47:03 +0000 2016,b'RT @abcspeakingout: .@amymcquire and @CraigQtrmaine discuss why Australia seems open to discuss #BlackLivesMatter while ignoring the local\\u2026',WingRecon,"Wingecarribee Shire, NSW",667
754824767509639168,Sun Jul 17 23:47:03 +0000 2016,b'RT @halmaxkay: @PolitiBunny @BullyUzi @thehill video of #BlackLivesMatter few days ago openly calling to kill cops https://t.co/GNbIeFyvBQ\\u2026',PolitiBunny,¯\_(ツ)_/¯,62981
754824767270711296,Sun Jul 17 23:47:03 +0000 2016,b'Listen to Where Do I Go by Salem Dzar &amp; DephArie on @AppleMusic.\\nhttps://t.co/mjq2LWUSzJ\\n#BlackLivesMatter',salemdzar,,312
754824767111176192,Sun Jul 17 23:47:03 +0000 2016,b'RT @YoungDems4Trump: This poor child is left fatherless. Dad was shot in #BatonRouge. Rt if Black Lives Dont Matter to #BlackLivesMatter! h\\u2026',KARMArie88,Mdl O Nowhere/2ft frm Hell USA,978
754824766243139584,Sun Jul 17 23:47:02 +0000 2016,"b'RT @chescaleigh: ""Martin Luther King\\u2019s hate mail eerily resembles criticism of the #BlackLivesMatter movement"" https://t.co/mUVtNZdP0W'",Adamant_Yves,"757, VA, DMV, NYC",12604
754824763919302656,Sun Jul 17 23:47:02 +0000 2016,b'RT @DrMartyFox: #Obama To Speak At 4:30 ET PREVIEW\\n\\n#Police Shootings Must Stop\\n\\n#BlackLivesMatter Is Peaceful\\n\\nEveryone Is #Racist https:/\\u2026',Galoshes77,"Tennessee, USA",49
754824761780285440,Sun Jul 17 23:47:01 +0000 2016,"b""@Lauren_Southern Lookin' good Lauren! Be safe this week! #Trump2016 Wreck some #BlackLivesMatter idiots for us! #RageTruthing #RNCinCLE""",Rage_Truthing,,73
754824760748601344,Sun Jul 17 23:47:01 +0000 2016,b'RT @ryan_marsh: Can confirm. As a combat vet this is maddening. #BlackLivesMatter https://t.co/ykyOkqsWDX',sotg91,,112
754824758072532992,Sun Jul 17 23:47:00 +0000 2016,b'RT @_skirah: I firmly stand behind #BlackLivesMatter &amp; also strongly condemn the SENSELESS killings of police officers in BR and Dallas. YO\\u2026',aayyeemee,"Lafayette, LA",254
